   223    26     0     datakind beginning-row multi-curves
-----------------------------------------------------------------
Calculation of photoelectron diffraction and dichroism
MSCD Version 1.37 Yufeng Chen and Michel A Van Hove
Lawrence Berkeley National Laboratory (LBNL). Berkeley. CA 94720
Copyright (c) Van Hove Group 1997-1998. All rights reserved
-----------------------------------------------------------------
 angle-resolved photoemission extended fine structure (ARPEFS)
 multiple scattering calculation of SrTiO3(110)-3d
 calculated by Aleanxdre on Mar 10. 2022

   initial angular momentum (li) = 2   msorder=  6   raorder= 4
   photon polarization angle (polar.azimuth) =(   0.0   0.0 ) (deg)

   radius. depth and lattice constant=  10.0.  27.0 and   3.90 angstrom
   cluster size= 502 atoms and spacings=  0.00  0.00  0.00  1.38 angs
   inner potential= 20.0 V  debye and sample temperature= 114. 300 K
   number of valence electrons=  10     bandgap energy=   0.00 eV
   density of bulk=  19.30 g/cm3     molecular weight= 183.49 amu
   effective weight for kind 1-3 =   87.6   47.9   16.0 amu
   half aperture angle=    1.5 deg            pathcut=     0.0010

   photoemission azimuthal scan curves
     parameters: curve point theta phi weightc weighte
     columns: phi intensity background chical chiexp
    19   760    1   19   40  760  ncurve npoint nk ntheta nphi nangle
   1    40  18.85   18.0    1.0    0.0   ----------------------------
  126.8    1.0316e-03    1.0857e-03   -4.9772e-02   -1.5200e-01
  129.8    1.1841e-03    1.0857e-03    9.0645e-02   -6.3326e-02
  132.8    1.3322e-03    1.0857e-03    2.2706e-01    2.1933e-02
  135.8    1.4560e-03    1.0857e-03    3.4115e-01    9.4387e-02
  138.8    1.4326e-03    1.0857e-03    3.1959e-01    1.0212e-01
  141.8    1.3554e-03    1.0857e-03    2.4847e-01    8.3752e-02
  144.8    1.2629e-03    1.0857e-03    1.6324e-01    2.7055e-02
  147.8    1.1720e-03    1.0857e-03    7.9571e-02   -3.6357e-03
  150.8    1.0746e-03    1.0857e-03   -1.0158e-02   -2.3483e-02
  153.8    1.0293e-03    1.0857e-03   -5.1872e-02   -1.5474e-02
  156.8    9.9054e-04    1.0857e-03   -8.7616e-02   -2.2225e-02
  159.8    1.0038e-03    1.0857e-03   -7.5400e-02   -3.5848e-02
  162.8    9.8529e-04    1.0857e-03   -9.2446e-02   -4.5411e-02
  165.8    9.6987e-04    1.0857e-03   -1.0665e-01   -3.5829e-02
  168.8    9.4521e-04    1.0857e-03   -1.2937e-01   -8.3540e-03
  171.8    9.1721e-04    1.0857e-03   -1.5516e-01    2.2492e-02
  174.8    9.6945e-04    1.0857e-03   -1.0704e-01    3.8041e-02
  177.8    1.0010e-03    1.0857e-03   -7.7944e-02    4.5057e-02
  180.8    1.0260e-03    1.0857e-03   -5.4913e-02    3.1931e-02
  183.8    9.9119e-04    1.0857e-03   -8.7017e-02    2.1824e-02
  186.8    9.4196e-04    1.0857e-03   -1.3236e-01   -1.0002e-02
  189.8    9.1032e-04    1.0857e-03   -1.6150e-01   -3.5743e-02
  192.8    9.3660e-04    1.0857e-03   -1.3730e-01   -5.6367e-02
  195.8    9.6155e-04    1.0857e-03   -1.1432e-01   -5.2180e-02
  198.8    9.9535e-04    1.0857e-03   -8.3184e-02   -4.4757e-02
  201.8    9.9265e-04    1.0857e-03   -8.5667e-02   -3.5902e-02
  204.8    9.8730e-04    1.0857e-03   -9.0596e-02   -3.1005e-02
  207.8    1.0497e-03    1.0857e-03   -3.3144e-02    3.9637e-03
  210.8    1.1394e-03    1.0857e-03    4.9540e-02    5.5365e-02
  213.8    1.1977e-03    1.0857e-03    1.0324e-01    1.1952e-01
  216.8    1.2784e-03    1.0857e-03    1.7753e-01    1.3406e-01
  219.8    1.3941e-03    1.0857e-03    2.8410e-01    1.0684e-01
  222.8    1.4516e-03    1.0857e-03    3.3708e-01    2.5137e-02
  225.8    1.4023e-03    1.0857e-03    2.9163e-01   -3.9018e-02
  228.8    1.2441e-03    1.0857e-03    1.4596e-01   -8.9055e-02
  231.8    1.0710e-03    1.0857e-03   -1.3472e-02   -1.0164e-01
  234.8    9.5043e-04    1.0857e-03   -1.2456e-01   -9.7589e-02
  237.8    8.3594e-04    1.0857e-03   -2.3001e-01   -5.9277e-02
  240.8    7.7501e-04    1.0857e-03   -2.8614e-01    1.1255e-02
  243.8    7.8037e-04    1.0857e-03   -2.8120e-01    1.1339e-01
   2    40  18.85   21.0    1.0    0.0   ----------------------------
  126.8    8.6836e-04    9.1207e-04   -4.7927e-02   -2.1450e-01
  129.8    9.3754e-04    9.1207e-04    2.7921e-02   -5.7674e-02
  132.8    1.0291e-03    9.1207e-04    1.2828e-01    6.8475e-02
  135.8    1.0802e-03    9.1207e-04    1.8434e-01    1.1649e-01
  138.8    1.0757e-03    9.1207e-04    1.7941e-01    1.0877e-01
  141.8    1.0390e-03    9.1207e-04    1.3913e-01    6.3860e-02
  144.8    1.0498e-03    9.1207e-04    1.5100e-01    2.8266e-02
  147.8    1.0758e-03    9.1207e-04    1.7951e-01    9.5031e-03
  150.8    1.0725e-03    9.1207e-04    1.7592e-01   -1.1774e-02
  153.8    9.3604e-04    9.1207e-04    2.6277e-02   -2.9923e-02
  156.8    7.7796e-04    9.1207e-04   -1.4704e-01   -5.5341e-02
  159.8    6.8422e-04    9.1207e-04   -2.4982e-01   -5.8560e-02
  162.8    6.4625e-04    9.1207e-04   -2.9145e-01   -4.6972e-02
  165.8    6.6986e-04    9.1207e-04   -2.6557e-01   -2.0652e-02
  168.8    7.5632e-04    9.1207e-04   -1.7077e-01    1.0864e-02
  171.8    8.4565e-04    9.1207e-04   -7.2828e-02    2.9503e-02
  174.8    9.3592e-04    9.1207e-04    2.6141e-02    4.1709e-02
  177.8    9.4067e-04    9.1207e-04    3.1354e-02    3.3909e-02
  180.8    9.4249e-04    9.1207e-04    3.3347e-02    3.0774e-02
  183.8    9.4152e-04    9.1207e-04    3.2289e-02    2.6107e-02
  186.8    8.8256e-04    9.1207e-04   -3.2363e-02    6.7937e-03
  189.8    8.2392e-04    9.1207e-04   -9.6657e-02   -2.0391e-02
  192.8    7.1589e-04    9.1207e-04   -2.1510e-01   -5.2073e-02
  195.8    6.6673e-04    9.1207e-04   -2.6900e-01   -5.8406e-02
  198.8    6.5221e-04    9.1207e-04   -2.8491e-01   -5.7105e-02
  201.8    7.2058e-04    9.1207e-04   -2.0995e-01   -3.9261e-02
  204.8    8.7989e-04    9.1207e-04   -3.5288e-02   -2.6259e-02
  207.8    1.0197e-03    9.1207e-04    1.1801e-01   -6.4983e-03
  210.8    1.0788e-03    9.1207e-04    1.8283e-01    3.1607e-02
  213.8    1.0686e-03    9.1207e-04    1.7157e-01    8.8026e-02
  216.8    1.0669e-03    9.1207e-04    1.6973e-01    1.3349e-01
  219.8    1.0723e-03    9.1207e-04    1.7562e-01    1.1612e-01
  222.8    1.1005e-03    9.1207e-04    2.0659e-01    5.5660e-02
  225.8    1.1208e-03    9.1207e-04    2.2887e-01   -2.5199e-02
  228.8    1.0161e-03    9.1207e-04    1.1402e-01   -7.7575e-02
  231.8    9.2928e-04    9.1207e-04    1.8860e-02   -1.0252e-01
  234.8    8.7352e-04    9.1207e-04   -4.2270e-02   -8.5026e-02
  237.8    8.2733e-04    9.1207e-04   -9.2916e-02   -4.5867e-02
  240.8    8.2701e-04    9.1207e-04   -9.3269e-02    1.1832e-02
  243.8    8.3556e-04    9.1207e-04   -8.3886e-02    7.9825e-02
   3    40  18.85   24.0    1.0    0.0   ----------------------------
  126.8    7.0912e-04    8.8839e-04   -2.0180e-01   -1.8111e-01
  129.8    7.8567e-04    8.8839e-04   -1.1562e-01   -6.0518e-02
  132.8    8.7801e-04    8.8839e-04   -1.1687e-02    3.0013e-02
  135.8    9.4947e-04    8.8839e-04    6.8758e-02    7.4749e-02
  138.8    1.0310e-03    8.8839e-04    1.6058e-01    8.7819e-02
